"","river","timestep","sa_m2","FCO2_obs","FCO2_BIKER","FCO2_BIKER_low","FCO2_BIKER_high","FCO2_raymond2012","FCO2_raymond2013","FCO2_brinkerhoff2019","FCO2_brinkerhoff2019_low","FCO2_brinkerhoff2019_high"
"1","MissouriDownstream",1,7791080.7852736,304.516649009103,255.142396523992,249.169038057375,261.21692174081,301.194657931908,365.362410044243,375.493546089113,277.981502695393,466.324673633871
"2","MissouriDownstream",2,7791080.7852736,461.494128312969,554.55765730904,415.761120037117,719.535076045437,430.574375659199,525.857972556276,541.160883051252,415.173136803754,658.779793094112
"3","MissouriDownstream",3,7791080.7852736,551.201605780007,676.430918177859,498.27199487062,890.80893889651,534.13110680336,649.304044802426,667.664429746888,500.422658528261,823.578236619757
"4","MissouriDownstream",4,7791080.7852736,384.817996575897,485.578968933988,362.520855879133,646.801381020553,388.831814832971,470.129136347262,482.739545233586,350.046879541616,606.151124835072
"5","MissouriDownstream",5,7791080.7852736,683.474276239974,873.915116005642,646.910719386087,1148.61403394436,699.679192904565,844.405353282834,866.540197560176,620.184422369254,1095.42426594762
"6","MissouriDownstream",6,7791080.7852736,572.746469453887,729.869429946252,540.986998463191,956.134338878345,586.576312528852,707.839635292566,726.382911773687,519.552211652665,918.535215137521
"7","MissouriDownstream",7,7791080.7852736,709.481164581041,895.602243981509,671.046943668464,1184.315582485,716.993983482839,866.786095744677,890.026298392887,644.886550250027,1118.00628321511
"8","MissouriDownstream",8,7791080.7852736,1032.25212623714,1315.59334373742,979.336980379839,1724.25223960293,1056.74716745935,1275.37712545361,1308.79715945539,936.844018111042,1654.3752632544
"9","MissouriDownstream",9,7791080.7852736,1614.52298132929,2044.19222620541,1534.21973085457,2667.54371719352,1639.79144563575,1981.37602436153,2034.03289461829,1468.12343005598,2560.16841021743
"10","MissouriDownstream",10,7791080.7852736,1275.55219461125,1690.22397426271,1250.26028722194,2244.98038010151,1343.97959651377,1614.49245419392,1654.02676046409,1140.5064728428,2129.55825648438
"11","MissouriDownstream",11,7791080.7852736,1828.05622155364,2334.7998876104,1744.9499087018,3082.48363822998,1875.16854411962,2262.57777675969,2321.64416435599,1658.76776780307,2937.42172789993
"12","MissouriDownstream",12,7791080.7852736,2059.19862751188,2520.61909001423,1870.88630839595,3336.26972308767,1987.37676794387,2417.20125719443,2485.7880666004,1868.38195010409,3061.47913641014
"13","MissouriDownstream",13,7791080.7852736,1455.31839018017,1774.57307089891,1333.78533305941,2322.53116353129,1399.51581806847,1703.07954275798,1751.55381106014,1320.05143773279,2153.97051143578
"14","MissouriDownstream",14,7791080.7852736,2414.30691799614,2972.83168491991,2228.56658691946,3866.05744095865,2366.56437486092,2873.98946885947,2954.41446448065,2201.39495095281,3656.15492518686
"15","MissouriDownstream",15,7791080.7852736,3285.3445329406,3954.06733023036,2951.02171528281,5187.97832060715,3067.69392355454,3745.04908371995,3854.00697640693,2951.88548710055,4696.12821495357
"16","MissouriDownstream",16,7791080.7852736,2788.81730781898,3354.80333977449,2515.9711346661,4411.07137691054,2602.9615950853,3177.23780153109,3269.7135466506,2502.97742441381,3985.43177786552
"17","MissouriDownstream",17,7791080.7852736,2178.71293309553,2645.79324393364,1969.26137986841,3465.16691994017,2068.60271466515,2520.23344812155,2592.69012757179,1966.27618305761,3177.10601402707
"18","MissouriDownstream",18,7791080.7852736,1663.76721669171,2006.74398130099,1491.86656774315,2642.17056532013,1559.90138736832,1903.11197793803,1958.33284345061,1495.5275503807,2390.28506759777
"19","MissouriDownstream",19,7791080.7852736,1539.44093864586,1692.76701018902,1266.60153422622,2207.48562349801,1365.58030282642,1693.05248319301,1745.66572907593,1420.18697821462,2050.25238657495
"20","MissouriDownstream",20,7791080.7852736,1438.6191335982,1694.51066661883,1277.48607815351,2226.10916739504,1283.48949402123,1573.93623096408,1621.03994195852,1267.37502584067,1951.52880052294
"21","MissouriDownstream",21,7791080.7852736,817.943920623473,1005.27453052977,752.95848353416,1325.14894123955,796.481612114164,967.557432980139,994.796124755055,742.863004202745,1229.60757213013
"22","MissouriDownstream",22,7791080.7852736,312.95539666462,378.587594021228,281.463114163649,495.410801841758,296.023873472402,360.830097227081,371.232934229996,282.22046349227,454.289503329523
"23","MissouriDownstream",23,7791080.7852736,412.652865619476,508.347256594182,385.4941164965,664.782742717998,402.39067712584,488.832770225223,502.578445152302,375.290160985292,621.215855334873
"24","MissouriDownstream",24,7791080.7852736,463.799943300606,568.592803280143,423.684003615426,743.406321381749,449.569747393174,546.599324456458,562.052081874993,421.567453668646,693.027232347328
"25","MissouriDownstream",25,7791080.7852736,720.94960091539,878.880458029298,662.481681192272,1151.49119718667,691.702386739573,841.893663577244,865.902560733977,653.270265318459,1064.21528810518
"26","MissouriDownstream",26,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","MissouriDownstream",27,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","MissouriDownstream",28,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","MissouriDownstream",29,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","MissouriDownstream",30,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","MissouriDownstream",31,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","MissouriDownstream",32,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","MissouriDownstream",33,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","MissouriDownstream",34,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","MissouriDownstream",35,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","MissouriDownstream",36,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","MissouriDownstream",37,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","MissouriDownstream",38,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","MissouriDownstream",39,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","MissouriDownstream",40,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","MissouriDownstream",41,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","MissouriDownstream",42,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","MissouriDownstream",43,7791080.7852736,NA,NA,NA,NA,NA,NA,NA,NA,NA
