k600,Vms,Qm3s,slope,depth,width,place,data1,data
4.48428,0.20000,0.12290,0.00650,0.07000,8.77500,Raymond,Raymond et al.,Raymond et al. 2012
5.09649,0.04500,0.01450,0.01260,0.16000,2.01200,Raymond,Raymond et al.,Raymond et al. 2012
2.90815,0.04400,0.04130,0.00900,0.22000,4.26300,Raymond,Raymond et al.,Raymond et al. 2012
3.02768,0.09800,0.23520,0.00360,0.24000,10.00000,Raymond,Raymond et al.,Raymond et al. 2012
3.98844,0.11000,0.14340,0.00400,0.19000,6.86200,Raymond,Raymond et al.,Raymond et al. 2012
4.35475,0.09800,0.07680,0.00530,0.16000,4.90000,Raymond,Raymond et al.,Raymond et al. 2012
5.08022,0.08000,0.00490,0.01470,0.07000,0.87700,Raymond,Raymond et al.,Raymond et al. 2012
5.11399,0.09200,0.05330,0.00640,0.13900,4.17100,Raymond,Raymond et al.,Raymond et al. 2012
6.58340,0.13400,0.06000,0.00380,0.16000,2.80000,Raymond,Raymond et al.,Raymond et al. 2012
2.77064,0.09000,0.07920,0.00557,0.16000,5.50000,Raymond,Raymond et al.,Raymond et al. 2012
5.78635,0.07800,0.05240,0.00640,0.16000,4.20000,Raymond,Raymond et al.,Raymond et al. 2012
3.10939,0.07000,0.00970,0.01020,0.11000,1.25400,Raymond,Raymond et al.,Raymond et al. 2012
4.17847,0.11100,0.05580,0.00380,0.18100,2.77700,Raymond,Raymond et al.,Raymond et al. 2012
3.38371,0.07900,0.22990,0.00638,0.15000,19.40000,Raymond,Raymond et al.,Raymond et al. 2012
13.23030,0.04600,0.00600,0.01330,0.12000,1.08400,Raymond,Raymond et al.,Raymond et al. 2012
1.77681,0.19200,0.05230,0.00750,0.05000,5.45100,Raymond,Raymond et al.,Raymond et al. 2012
13.07802,0.06000,0.00490,0.03000,0.04000,2.04300,Raymond,Raymond et al.,Raymond et al. 2012
5.85815,0.12100,0.07040,0.00530,0.11000,5.29200,Raymond,Raymond et al.,Raymond et al. 2012
3.70401,0.11900,0.08230,0.00650,0.09000,7.68500,Raymond,Raymond et al.,Raymond et al. 2012
5.67718,0.11500,0.04550,0.00530,0.11000,3.60000,Raymond,Raymond et al.,Raymond et al. 2012
2.73172,0.10000,0.00700,0.01330,0.05000,1.39600,Raymond,Raymond et al.,Raymond et al. 2012
4.37931,0.07500,0.02020,0.01140,0.07700,3.49600,Raymond,Raymond et al.,Raymond et al. 2012
7.72424,0.11600,0.01950,0.00470,0.12000,1.40000,Raymond,Raymond et al.,Raymond et al. 2012
4.54936,0.04000,0.02730,0.00900,0.18000,3.79100,Raymond,Raymond et al.,Raymond et al. 2012
4.73087,0.10600,0.04430,0.00530,0.11000,3.80000,Raymond,Raymond et al.,Raymond et al. 2012
2.90782,0.14400,0.03990,0.00380,0.11000,2.52000,Raymond,Raymond et al.,Raymond et al. 2012
5.19130,0.09800,0.03400,0.00510,0.12000,2.89100,Raymond,Raymond et al.,Raymond et al. 2012
8.87066,0.08700,0.01180,0.00860,0.08000,1.70000,Raymond,Raymond et al.,Raymond et al. 2012
4.76767,0.08500,0.04750,0.00530,0.13000,4.30000,Raymond,Raymond et al.,Raymond et al. 2012
5.11294,0.06400,0.01640,0.01140,0.08000,3.20000,Raymond,Raymond et al.,Raymond et al. 2012
4.36347,0.09700,0.04820,0.00530,0.11200,4.43300,Raymond,Raymond et al.,Raymond et al. 2012
13.70790,0.06400,0.00310,0.01470,0.06000,0.80100,Raymond,Raymond et al.,Raymond et al. 2012
5.56911,0.05900,0.01770,0.00950,0.10000,2.99400,Raymond,Raymond et al.,Raymond et al. 2012
2.35310,0.05300,0.03500,0.00951,0.11000,6.00000,Raymond,Raymond et al.,Raymond et al. 2012
2.05047,0.06700,0.10010,0.00454,0.18000,8.30000,Raymond,Raymond et al.,Raymond et al. 2012
8.70559,0.03200,0.00600,0.02080,0.08000,2.32600,Raymond,Raymond et al.,Raymond et al. 2012
6.04711,0.03700,0.01280,0.00950,0.15000,2.30200,Raymond,Raymond et al.,Raymond et al. 2012
4.10517,0.03500,0.00450,0.03000,0.05000,2.54400,Raymond,Raymond et al.,Raymond et al. 2012
5.54638,0.05300,0.01490,0.00470,0.21000,1.34100,Raymond,Raymond et al.,Raymond et al. 2012
3.17138,0.10600,0.04660,0.00530,0.09000,4.88000,Raymond,Raymond et al.,Raymond et al. 2012
2.13461,0.07300,0.04530,0.00530,0.13000,4.77000,Raymond,Raymond et al.,Raymond et al. 2012
3.48511,0.06700,0.01110,0.01250,0.06000,2.76800,Raymond,Raymond et al.,Raymond et al. 2012
3.31908,0.09300,0.03970,0.00720,0.07000,6.09700,Raymond,Raymond et al.,Raymond et al. 2012
2.81538,0.04500,0.00450,0.01020,0.09000,1.10100,Raymond,Raymond et al.,Raymond et al. 2012
2.74757,0.07000,0.03530,0.00720,0.08000,6.30000,Raymond,Raymond et al.,Raymond et al. 2012
3.00779,0.06700,0.01790,0.00510,0.11000,2.42700,Raymond,Raymond et al.,Raymond et al. 2012
2.40046,0.09000,0.01700,0.00510,0.07000,2.70000,Raymond,Raymond et al.,Raymond et al. 2012
2.68362,0.03500,0.00710,0.01250,0.07000,2.91400,Raymond,Raymond et al.,Raymond et al. 2012
3.71389,0.02400,0.01200,0.00900,0.14000,3.58100,Raymond,Raymond et al.,Raymond et al. 2012
3.02060,0.03300,0.00490,0.01250,0.06000,2.46200,Raymond,Raymond et al.,Raymond et al. 2012
5.05871,0.03900,0.01060,0.00510,0.11000,2.46500,Raymond,Raymond et al.,Raymond et al. 2012
1.30856,0.02200,0.00490,0.00950,0.07000,3.19300,Raymond,Raymond et al.,Raymond et al. 2012
0.95856,0.02200,0.00490,0.00950,0.07000,3.16900,Raymond,Raymond et al.,Raymond et al. 2012
0.96301,0.03900,0.01970,0.00290,0.09000,5.60000,Raymond,Raymond et al.,Raymond et al. 2012
62.74520,0.07600,1.05842,0.17000,0.14300,,Raymond,Raymond et al.,Raymond et al. 2012
30.59285,0.09900,1.70932,0.09000,0.11400,,Raymond,Raymond et al.,Raymond et al. 2012
19.73707,0.05700,0.08773,0.17000,0.06700,,Raymond,Raymond et al.,Raymond et al. 2012
15.49521,0.04900,0.48676,0.08000,0.12100,,Raymond,Raymond et al.,Raymond et al. 2012
11.88718,0.03600,0.19952,0.17000,0.07500,,Raymond,Raymond et al.,Raymond et al. 2012
11.62886,0.02200,0.06509,0.13000,0.13000,,Raymond,Raymond et al.,Raymond et al. 2012
8.64332,0.07700,0.37356,0.03500,0.05700,,Raymond,Raymond et al.,Raymond et al. 2012
8.23140,0.06800,0.27734,0.03500,0.04800,,Raymond,Raymond et al.,Raymond et al. 2012
4.79479,0.24000,5.60340,0.00250,0.19000,,Raymond,Raymond et al.,Raymond et al. 2012
5.22672,0.04300,0.29432,0.02500,0.10200,,Raymond,Raymond et al.,Raymond et al. 2012
7.37821,0.05800,0.22074,0.03500,0.04500,,Raymond,Raymond et al.,Raymond et al. 2012
5.35772,0.13800,0.87730,0.00300,0.03900,,Raymond,Raymond et al.,Raymond et al. 2012
26.80000,0.23024,2.25936,0.06000,0.14857,2.33400,Raymond,Raymond et al.,Raymond et al. 2012
26.50000,0.49167,5.36011,0.01500,0.20382,1.89000,Raymond,Raymond et al.,Raymond et al. 2012
24.00000,0.06073,3.16717,0.02478,0.94020,1.96000,Raymond,Raymond et al.,Raymond et al. 2012
7.70000,0.04269,0.34570,0.19000,0.12074,2.37000,Raymond,Raymond et al.,Raymond et al. 2012
16.70000,0.11765,1.39510,0.03600,0.18557,2.25800,Raymond,Raymond et al.,Raymond et al. 2012
11.00000,0.11111,0.54778,0.13400,0.04658,3.74000,Raymond,Raymond et al.,Raymond et al. 2012
15.30000,0.13889,1.27439,0.02100,0.21054,1.54000,Raymond,Raymond et al.,Raymond et al. 2012
12.90000,0.26683,7.58014,0.01400,0.15248,6.58310,Raymond,Raymond et al.,Raymond et al. 2012
10.20000,0.06159,0.56486,0.03171,0.27462,1.18000,Raymond,Raymond et al.,Raymond et al. 2012
4.10000,0.07667,3.20926,0.02372,0.25156,5.88000,Raymond,Raymond et al.,Raymond et al. 2012
10.50000,0.22593,1.46532,0.01300,0.11875,1.93000,Raymond,Raymond et al.,Raymond et al. 2012
2.60000,0.19599,1.49049,0.01100,0.15901,1.69000,Raymond,Raymond et al.,Raymond et al. 2012
4.80000,0.11111,0.74492,0.03214,0.09476,2.50000,Raymond,Raymond et al.,Raymond et al. 2012
2.00000,0.26458,0.64938,0.01710,0.07230,1.19960,Raymond,Raymond et al.,Raymond et al. 2012
8.40000,0.06755,1.40002,0.01571,0.26825,2.73000,Raymond,Raymond et al.,Raymond et al. 2012
1.80000,0.01852,0.14602,0.14167,0.10169,2.74000,Raymond,Raymond et al.,Raymond et al. 2012
4.10000,0.04087,3.40020,0.00564,1.12215,2.62000,Raymond,Raymond et al.,Raymond et al. 2012
6.10000,0.23917,3.11437,0.00600,0.17927,2.56667,Raymond,Raymond et al.,Raymond et al. 2012
3.30000,0.02278,0.65787,0.02439,0.41486,2.46000,Raymond,Raymond et al.,Raymond et al. 2012
6.40000,0.26000,1.82539,0.01000,0.08689,2.85526,Raymond,Raymond et al.,Raymond et al. 2012
4.50000,0.19445,1.57610,0.01900,0.06062,4.72500,Raymond,Raymond et al.,Raymond et al. 2012
5.50000,0.14733,2.91315,0.00435,0.31261,2.23500,Raymond,Raymond et al.,Raymond et al. 2012
8.70000,0.08333,0.37942,0.03470,0.06679,2.40900,Raymond,Raymond et al.,Raymond et al. 2012
5.90000,0.20000,0.34943,0.01538,0.06072,1.01667,Raymond,Raymond et al.,Raymond et al. 2012
3.90000,0.02011,0.70610,0.02600,0.35139,3.53000,Raymond,Raymond et al.,Raymond et al. 2012
2.20000,0.19320,2.81256,0.00540,0.16056,3.20400,Raymond,Raymond et al.,Raymond et al. 2012
3.20000,0.04505,0.56879,0.02606,0.13729,3.25000,Raymond,Raymond et al.,Raymond et al. 2012
4.60000,0.15433,4.35384,0.00480,0.20540,4.57400,Raymond,Raymond et al.,Raymond et al. 2012
2.20000,0.22576,0.60221,0.02174,0.02564,3.67614,Raymond,Raymond et al.,Raymond et al. 2012
5.60000,0.15220,0.81024,0.00800,0.10224,1.84000,Raymond,Raymond et al.,Raymond et al. 2012
5.30000,0.14383,0.99050,0.00500,0.17206,1.41429,Raymond,Raymond et al.,Raymond et al. 2012
4.00000,0.06667,0.34415,0.01500,0.11845,1.54000,Raymond,Raymond et al.,Raymond et al. 2012
6.00000,0.17000,4.48455,0.00400,0.16304,5.71727,Raymond,Raymond et al.,Raymond et al. 2012
1.80000,0.02315,0.13228,0.04000,0.11214,1.80067,Raymond,Raymond et al.,Raymond et al. 2012
2.20000,0.13333,0.33734,0.02500,0.02912,3.07000,Raymond,Raymond et al.,Raymond et al. 2012
1.60000,0.04657,0.21319,0.02522,0.07703,2.10000,Raymond,Raymond et al.,Raymond et al. 2012
8.00000,0.16000,3.70905,0.00300,0.15875,5.16000,Raymond,Raymond et al.,Raymond et al. 2012
0.30000,0.01917,0.12330,0.03781,0.09472,2.40000,Raymond,Raymond et al.,Raymond et al. 2012
3.10000,0.12333,0.11431,0.03297,0.01633,2.00500,Raymond,Raymond et al.,Raymond et al. 2012
1.40000,0.04667,0.15377,0.01870,0.07323,1.59000,Raymond,Raymond et al.,Raymond et al. 2012
3.80000,0.06870,0.32093,0.00679,0.09455,1.74600,Raymond,Raymond et al.,Raymond et al. 2012
6.40000,0.11650,0.33079,0.00400,0.08612,1.16500,Raymond,Raymond et al.,Raymond et al. 2012
3.90000,0.11217,0.13728,0.00800,0.04042,1.07000,Raymond,Raymond et al.,Raymond et al. 2012
1.50000,0.05556,0.98153,0.00332,0.18827,3.31600,Raymond,Raymond et al.,Raymond et al. 2012
2.20000,0.01717,0.50860,0.00688,0.25452,4.11167,Raymond,Raymond et al.,Raymond et al. 2012
1.40000,0.02586,0.03679,0.02740,0.04189,1.20000,Raymond,Raymond et al.,Raymond et al. 2012
0.70000,0.01127,0.15692,0.01306,0.18566,2.65000,Raymond,Raymond et al.,Raymond et al. 2012
1.10000,0.01254,0.13963,0.01200,0.14793,2.66000,Raymond,Raymond et al.,Raymond et al. 2012
3.70000,0.10667,0.16311,0.01331,0.01460,3.70000,Raymond,Raymond et al.,Raymond et al. 2012
0.60000,0.01045,0.13628,0.01022,0.18361,2.51000,Raymond,Raymond et al.,Raymond et al. 2012
1.60000,0.04692,0.26851,0.00500,0.08317,2.43125,Raymond,Raymond et al.,Raymond et al. 2012
1.50000,0.05747,0.70712,0.00482,0.06743,6.44800,Raymond,Raymond et al.,Raymond et al. 2012
0.90000,0.00636,0.15890,0.01286,0.22624,3.90000,Raymond,Raymond et al.,Raymond et al. 2012
3.30000,0.16763,3.11589,0.00052,0.20500,3.20400,Raymond,Raymond et al.,Raymond et al. 2012
4.60000,0.02600,1.49231,0.00158,0.42253,4.80000,Raymond,Raymond et al.,Raymond et al. 2012
0.20000,0.01429,0.08204,0.01507,0.07927,2.56000,Raymond,Raymond et al.,Raymond et al. 2012
2.40000,0.03667,0.06764,0.00699,0.05718,1.14000,Raymond,Raymond et al.,Raymond et al. 2012
0.60000,0.01826,0.01848,0.01143,0.06502,0.55000,Raymond,Raymond et al.,Raymond et al. 2012
1.70000,0.01427,0.05812,0.00811,0.10737,1.34000,Raymond,Raymond et al.,Raymond et al. 2012
0.80000,0.04703,0.66582,0.00140,0.17193,2.91000,Raymond,Raymond et al.,Raymond et al. 2012
0.90000,0.01515,0.04394,0.01410,0.04879,2.10000,Raymond,Raymond et al.,Raymond et al. 2012
7.50000,0.17544,0.16980,0.00100,0.03638,0.94000,Raymond,Raymond et al.,Raymond et al. 2012
0.70000,0.07117,0.04705,0.00400,0.01995,1.17091,Raymond,Raymond et al.,Raymond et al. 2012
0.10000,0.01852,0.00678,0.01750,0.01667,0.77600,Raymond,Raymond et al.,Raymond et al. 2012
2.60000,0.03333,0.50434,0.00125,0.12096,4.42000,Raymond,Raymond et al.,Raymond et al. 2012
1.10000,0.01753,0.05609,0.00429,0.04488,2.52000,Raymond,Raymond et al.,Raymond et al. 2012
1.00000,0.02269,0.06975,0.00092,0.08354,1.30000,Raymond,Raymond et al.,Raymond et al. 2012
20.62893,0.98450,13.81040,0.00526,0.46515,324.80315,Raymond,Raymond et al.,Raymond et al. 2012
13.56270,1.21006,14.15000,0.00400,0.47392,265.74803,Raymond,Raymond et al.,Raymond et al. 2012
8.74719,0.86563,14.15000,0.00359,0.57701,305.11811,Raymond,Raymond et al.,Raymond et al. 2012
23.10385,0.39671,0.50940,0.01795,0.21050,65.69882,Raymond,Raymond et al.,Raymond et al. 2012
24.31224,0.37207,0.39620,0.01795,0.15889,72.17848,Raymond,Raymond et al.,Raymond et al. 2012
7.01028,0.41638,8.36265,0.00960,0.22125,977.69029,Raymond,Raymond et al.,Raymond et al. 2012
5.91125,0.72847,16.64040,0.00173,0.69434,354.33071,Raymond,Raymond et al.,Raymond et al. 2012
7.54381,0.53272,9.16920,0.00311,0.51367,360.89239,Raymond,Raymond et al.,Raymond et al. 2012
9.43527,0.77724,15.59330,0.00155,0.53545,403.54331,Raymond,Raymond et al.,Raymond et al. 2012
4.75217,0.30912,6.93350,0.00590,0.33776,715.22310,Raymond,Raymond et al.,Raymond et al. 2012
8.75769,0.45110,10.52760,0.00210,0.63843,393.70079,Raymond,Raymond et al.,Raymond et al. 2012
8.12870,0.33651,0.82919,0.00961,0.18288,145.11638,Raymond,Raymond et al.,Raymond et al. 2012
15.47262,0.26190,4.07520,0.00457,0.48768,343.55081,Raymond,Raymond et al.,Raymond et al. 2012
8.41111,0.98755,16.01780,0.00120,0.45124,387.13911,Raymond,Raymond et al.,Raymond et al. 2012
8.43315,0.12051,2.19750,0.00581,0.74825,262.46719,Raymond,Raymond et al.,Raymond et al. 2012
3.28728,0.41888,4.88175,0.00255,0.47549,263.56080,Raymond,Raymond et al.,Raymond et al. 2012
7.96549,0.18318,4.11765,0.00316,0.87173,277.46532,Raymond,Raymond et al.,Raymond et al. 2012
9.70805,0.23606,0.45280,0.00545,0.37150,55.61024,Raymond,Raymond et al.,Raymond et al. 2012
3.45929,0.69190,16.52720,0.00105,0.63238,406.82415,Raymond,Raymond et al.,Raymond et al. 2012
2.17278,0.47365,5.91470,0.00580,0.15828,849.73753,Raymond,Raymond et al.,Raymond et al. 2012
7.30621,0.33143,10.24460,0.00159,0.78056,426.50919,Raymond,Raymond et al.,Raymond et al. 2012
3.58720,0.34200,0.64241,0.00350,0.33528,60.34063,Raymond,Raymond et al.,Raymond et al. 2012
3.66353,0.34169,0.64241,0.00350,0.33528,60.39559,Raymond,Raymond et al.,Raymond et al. 2012
2.94657,0.38982,6.86275,0.00630,0.16280,1164.69816,Raymond,Raymond et al.,Raymond et al. 2012
7.40027,0.41665,2.19042,0.00442,0.21573,262.46719,Raymond,Raymond et al.,Raymond et al. 2012
3.40413,0.33260,9.33900,0.00129,0.92177,328.08399,Raymond,Raymond et al.,Raymond et al. 2012
4.56072,0.36700,35.94100,0.00077,1.35078,780.83990,Raymond,Raymond et al.,Raymond et al. 2012
3.03063,0.17770,4.07520,0.00417,0.48886,505.24934,Raymond,Raymond et al.,Raymond et al. 2012
2.94060,0.35038,9.31070,0.00140,0.72695,393.70079,Raymond,Raymond et al.,Raymond et al. 2012
3.61084,0.36189,9.25410,0.00136,0.69955,393.70079,Raymond,Raymond et al.,Raymond et al. 2012
6.18887,0.35200,2.25551,0.00364,0.26294,262.46719,Raymond,Raymond et al.,Raymond et al. 2012
5.13695,0.54864,22.61170,0.00090,0.62929,705.38058,Raymond,Raymond et al.,Raymond et al. 2012
6.23442,0.29641,1.38670,0.00373,0.27672,182.08661,Raymond,Raymond et al.,Raymond et al. 2012
7.57486,0.39624,22.55510,0.00076,0.99397,616.79790,Raymond,Raymond et al.,Raymond et al. 2012
4.46297,0.22472,0.19810,0.00568,0.23152,41.01050,Raymond,Raymond et al.,Raymond et al. 2012
8.16925,0.15468,0.02447,0.01326,0.14238,11.96850,Raymond,Raymond et al.,Raymond et al. 2012
6.02836,0.14101,1.18860,0.00322,0.63611,142.71654,Raymond,Raymond et al.,Raymond et al. 2012
6.63100,0.51816,22.59755,0.00083,0.67531,695.53806,Raymond,Raymond et al.,Raymond et al. 2012
18.21021,0.11965,0.18678,0.00815,0.28789,58.39895,Raymond,Raymond et al.,Raymond et al. 2012
4.94164,0.28313,0.45280,0.00399,0.24533,70.20997,Raymond,Raymond et al.,Raymond et al. 2012
6.08087,0.12851,1.13200,0.00322,0.66477,142.71654,Raymond,Raymond et al.,Raymond et al. 2012
17.11130,0.41566,24.25310,0.00045,1.44018,436.35171,Raymond,Raymond et al.,Raymond et al. 2012
10.63966,0.42540,24.67760,0.00045,1.37997,452.75591,Raymond,Raymond et al.,Raymond et al. 2012
3.52844,0.21721,0.18621,0.00549,0.21649,42.65092,Raymond,Raymond et al.,Raymond et al. 2012
4.96343,0.47808,5.32040,0.00148,0.35966,333.55206,Raymond,Raymond et al.,Raymond et al. 2012
4.12073,0.22603,0.22838,0.00379,0.27641,39.37008,Raymond,Raymond et al.,Raymond et al. 2012
4.97404,0.25411,4.00445,0.00175,0.53035,319.88189,Raymond,Raymond et al.,Raymond et al. 2012
3.76521,0.48581,1.56782,0.00213,0.22686,153.21522,Raymond,Raymond et al.,Raymond et al. 2012
4.18984,0.28383,1.18860,0.00225,0.35707,126.31234,Raymond,Raymond et al.,Raymond et al. 2012
5.90085,0.23774,80.08900,0.00044,2.08263,1742.12598,Raymond,Raymond et al.,Raymond et al. 2012
8.45002,0.09749,0.02631,0.01080,0.20615,14.10105,Raymond,Raymond et al.,Raymond et al. 2012
3.59531,0.19519,0.67637,0.00280,0.38958,95.80052,Raymond,Raymond et al.,Raymond et al. 2012
4.23242,0.10874,3.11300,0.00290,0.67056,459.81468,Raymond,Raymond et al.,Raymond et al. 2012
3.09170,0.29215,4.57045,0.00210,0.34238,492.12598,Raymond,Raymond et al.,Raymond et al. 2012
6.48872,0.26010,1.07540,0.00225,0.35255,126.31234,Raymond,Raymond et al.,Raymond et al. 2012
5.45954,0.10218,3.08470,0.00118,1.63807,198.49081,Raymond,Raymond et al.,Raymond et al. 2012
2.99817,0.29751,5.85810,0.00174,0.38024,557.74278,Raymond,Raymond et al.,Raymond et al. 2012
5.24893,0.14588,0.03990,0.00795,0.16785,17.55249,Raymond,Raymond et al.,Raymond et al. 2012
4.97592,0.15658,0.02236,0.01307,0.09191,16.73228,Raymond,Raymond et al.,Raymond et al. 2012
3.64931,0.24071,1.42915,0.00150,0.48768,131.12042,Raymond,Raymond et al.,Raymond et al. 2012
2.84091,0.32627,2.47059,0.00127,0.42347,192.58530,Raymond,Raymond et al.,Raymond et al. 2012
4.75841,0.15039,0.07174,0.00587,0.19698,26.08268,Raymond,Raymond et al.,Raymond et al. 2012
5.02891,0.12287,0.16697,0.00568,0.24695,59.26693,Raymond,Raymond et al.,Raymond et al. 2012
5.22683,0.20892,3.05640,0.00091,0.90613,173.88451,Raymond,Raymond et al.,Raymond et al. 2012
1.91952,0.17494,1.57631,0.00141,0.67998,142.71654,Raymond,Raymond et al.,Raymond et al. 2012
2.73631,0.65244,209.42000,0.00011,2.25552,1532.71561,Raymond,Raymond et al.,Raymond et al. 2012
2.59284,0.32046,3.18375,0.00239,0.21743,492.12598,Raymond,Raymond et al.,Raymond et al. 2012
5.98127,0.20333,3.02810,0.00107,0.75021,213.80140,Raymond,Raymond et al.,Raymond et al. 2012
3.68784,0.07907,0.12452,0.00549,0.35168,48.22835,Raymond,Raymond et al.,Raymond et al. 2012
5.08672,0.23051,0.71401,0.00144,0.45992,72.53937,Raymond,Raymond et al.,Raymond et al. 2012
2.44071,0.46360,23.48900,0.00049,0.65176,837.27034,Raymond,Raymond et al.,Raymond et al. 2012
1.97531,0.31778,1.18860,0.00214,0.21523,187.17192,Raymond,Raymond et al.,Raymond et al. 2012
2.13014,0.13567,0.76127,0.00234,0.44501,135.80847,Raymond,Raymond et al.,Raymond et al. 2012
2.13188,0.48143,5.71660,0.00041,0.71524,178.80577,Raymond,Raymond et al.,Raymond et al. 2012
6.32714,0.25545,30.28100,0.00038,1.40993,905.51181,Raymond,Raymond et al.,Raymond et al. 2012
2.22653,0.30836,14.68770,0.00085,0.52003,986.51602,Raymond,Raymond et al.,Raymond et al. 2012
4.17746,0.22991,0.96022,0.00114,0.50951,88.28740,Raymond,Raymond et al.,Raymond et al. 2012
3.24454,0.24759,0.61977,0.00174,0.30893,87.27034,Raymond,Raymond et al.,Raymond et al. 2012
2.10068,0.29090,1.07540,0.00214,0.21272,187.17192,Raymond,Raymond et al.,Raymond et al. 2012
2.90148,0.18587,0.20772,0.00233,0.30572,39.37008,Raymond,Raymond et al.,Raymond et al. 2012
3.31904,0.17833,0.25215,0.00189,0.38682,39.37008,Raymond,Raymond et al.,Raymond et al. 2012
3.58665,0.15594,0.15424,0.00379,0.21914,48.60957,Raymond,Raymond et al.,Raymond et al. 2012
1.77017,0.19714,1.86780,0.00167,0.39371,259.18635,Raymond,Raymond et al.,Raymond et al. 2012
4.66266,0.12920,0.02689,0.00644,0.15180,14.76378,Raymond,Raymond et al.,Raymond et al. 2012
2.24320,0.22727,2.20740,0.00146,0.35038,298.55643,Raymond,Raymond et al.,Raymond et al. 2012
0.96589,0.23170,0.02887,0.00915,0.05381,24.93438,Raymond,Raymond et al.,Raymond et al. 2012
1.33687,0.16193,1.34142,0.00134,0.51798,172.24409,Raymond,Raymond et al.,Raymond et al. 2012
3.08655,0.16391,1.41500,0.00170,0.38820,239.50131,Raymond,Raymond et al.,Raymond et al. 2012
3.71377,0.19159,1.64140,0.00155,0.36576,252.27670,Raymond,Raymond et al.,Raymond et al. 2012
6.91791,0.12237,1.98100,0.00116,0.75647,230.47900,Raymond,Raymond et al.,Raymond et al. 2012
1.91014,0.07059,3.48090,0.00160,0.94488,562.12044,Raymond,Raymond et al.,Raymond et al. 2012
5.37883,0.22967,3.41723,0.00101,0.44806,358.15836,Raymond,Raymond et al.,Raymond et al. 2012
3.06867,0.12477,0.14999,0.00290,0.28805,44.94751,Raymond,Raymond et al.,Raymond et al. 2012
1.37908,0.57926,96.78600,0.00013,1.34112,1341.83021,Raymond,Raymond et al.,Raymond et al. 2012
2.69940,0.09139,0.08150,0.00464,0.24196,39.69816,Raymond,Raymond et al.,Raymond et al. 2012
3.96609,0.20076,3.56580,0.00081,0.62161,307.74278,Raymond,Raymond et al.,Raymond et al. 2012
2.55846,0.14946,0.02802,0.00568,0.11721,17.22441,Raymond,Raymond et al.,Raymond et al. 2012
2.47967,0.22826,23.03620,0.00052,0.80807,1345.14436,Raymond,Raymond et al.,Raymond et al. 2012
3.75047,0.07434,0.22357,0.00327,0.38565,83.98950,Raymond,Raymond et al.,Raymond et al. 2012
2.55833,0.08493,0.56034,0.00155,0.69870,101.70604,Raymond,Raymond et al.,Raymond et al. 2012
1.18031,0.14792,0.39620,0.00126,0.44863,64.30446,Raymond,Raymond et al.,Raymond et al. 2012
3.57515,0.12192,2.40267,0.00082,0.82906,256.01407,Raymond,Raymond et al.,Raymond et al. 2012
1.99313,0.44051,95.08800,0.00011,1.64592,1412.49179,Raymond,Raymond et al.,Raymond et al. 2012
0.79932,0.21450,1.65272,0.00284,0.13243,626.64042,Raymond,Raymond et al.,Raymond et al. 2012
